ProductRef,ProductName,ProductCatID,Category Name,Sub Category,UnitMeasureName
718169,"Analyzer, Blood Chemistry",5,Bio Med,Laboratory,BOX
701644,"Analyzer, blood gas",5,Bio Med,Bio-Medical Equipment,BOX
726040,"Analyzer, Blood Gas",5,Bio Med,Monitoring,BOX
719795,"Analyzer, Electrosurgical",5,Bio Med,Surgical,BOX
719846,"Analyzer, Hemostasis (coag.)",5,Bio Med,Bio-Medical Equipment,BOX
725051,"Analyzer, Infolab Blood Chemistry Analyzer",5,Bio Med,Laboratory,BOX
724893,"Analyzer, Lens Analyzer, Model 330",5,Bio Med,Laboratory,BOX
700076,"ORTHOPEDIC, LARGE HIPSHIELD, 36""-38"" WAIST",7,World Vision,Orthopedic,BOX
700548,"Analyzer, urine",5,Bio Med,Respiratory,BOX
700514,"Analyzer, urine, centrifuge",5,Bio Med,Suction,BOX
707312,"Analyzers, DCA 2000, Hemoglobin Analyzer/Tester",5,Bio Med,Bio-Medical Equipment,BOX
X700083,"Scales, Floor, 500lb capacity",2,Medical Supplies,Monitoring,BOX
710075,"Anesthesia Kits, Bedside Anesthesia Monitor Siren",5,Bio Med,Anesthesia,BOX
700085,"PILLOWS, CERVICAL PILLOW",7,World Vision,Physical Therapy/Rehabilitation,BOX
719796,"Anesthesia unit, Vaporizer",5,Bio Med,Anesthesia,BOX
714252,"Anesthesia Units, Anesthesia Machine",5,Bio Med,Anesthesia,BOX
705106,"Anesthesia Units, Modulus I ",5,Bio Med,Anesthesia,BOX
700090,"TRASH CAN LINER, 20-33 GAL, MEDIUM.",7,World Vision,Cleaning Supplies,BOX
710043,"Anesthesia Units, W/Monitor",5,Bio Med,Anesthesia,BOX
717827,"Anesthesia, CO2 monitor",5,Bio Med,Anesthesia,BOX
700093,"LANCETS, BLOOD, THIN LANCETS, ASSORTED",7,World Vision,Laboratory,BOX
700094,"CLEANING SUPPLIES, DUST MOP FRAME,36IN",7,World Vision,Cleaning Supplies,BOX
722956,"Angiographic, Angiographic Injector",5,Bio Med,Cardiovascular,BOX
700096,"TRASH CAN LINER, 20-33 GAL, MEDIUM.",7,World Vision,Cleaning Supplies,CASE
700508,"Arthroscopic, Fluid Management System",5,Bio Med,Orthopedic,BOX
717178,"Arthroscopy system, Arthrocare Controller",5,Bio Med,Bio-Medical Equipment,BOX
716814,"Arthroscopy, Pump, Used",5,Bio Med,Bio-Medical Equipment,BOX
701625,"Aspirator, M D Engineering,LS 1000, Aspirator Unit",5,Bio Med,Suction,BOX
706301,"Aspirators, Ameda Egnell 30 II Aspirator",5,Bio Med,Bio-Medical Equipment,BOX
719956,"Aspirators, Portable Suction Unit W/Battery Backup",5,Bio Med,Bio-Medical Equipment,BOX
700103,"STERILIZATION PACKAGING, SELF SEAL POUCH,12x15 1/2",7,World Vision,Sterilization Supplies,BOX
700104,"IV SOLUTION SETS, 60 DROPS/ML,83"",3 SITE INJ",7,World Vision,Intravenous,BOX
700498,"Aspirators, Suction Apparatus, Oropharyngeal",5,Bio Med,Suction,BOX
700499,"Aspirators, Surgical, Suction and Pressure",5,Bio Med,Suction,BOX
700515,"Aspirators, Surgical, Vacuum/Pressure Unit",5,Bio Med,Suction,BOX
706299,"Aspirators, used",5,Bio Med,Bio-Medical Equipment,BOX
710978,"Audiometers, Audiometer w/earphones, used",5,Bio Med,Bio-Medical Equipment,BOX
711143,"Audiometers, Hearing Aid/Coclear Implants, Used",5,Bio Med,Bio-Medical Equipment,BOX
700112,"SPLINT, ELBOW, PRE-FORMED POSTERIOR, LARGE",7,World Vision,Physical Therapy/Rehabilitation,BOX
712379,"Audiometers, Natus Algo 2E Color Audiometer",5,Bio Med,Monitoring,BOX
723509,Automatic Transfer Switch,5,Bio Med,General Supplies,BOX
700533,"Autotransfusion Unit, Preassembled Surgical Wash",5,Bio Med,Surgical,BOX
702304,"Barcode Printer, Zebra 105SL Printer",5,Bio Med,Office,BOX
700118,"TISSUE, TOILET 3.55 X 1000FT,2PLY WHT JUMBO",7,World Vision,Personal Hygiene,BOX
717996,"Bath, constant temperature, used",5,Bio Med,Laboratory,BOX
725912,"Bath, Othopedic, Forma-Splint Thermal Bath",5,Bio Med,Orthopedic,BOX
717630,"Bath, paraffin",5,Bio Med,Physical Therapy/Rehabilitation,BOX
700517,"Baths, Water, Laboratory",5,Bio Med,Bio-Medical Equipment,BOX
710094,"Baths, Water, Orbit 3545 Water Bath",5,Bio Med,Bio-Medical Equipment,BOX
721340,"Baths, Water, Teledyne Hanau",5,Bio Med,Dental,BOX
725952,"Baths, Whirlpool, Ferno IIIe, Small",5,Bio Med,Bio-Medical Equipment,BOX
706761,"Baths, Whirlpool, Foot spa plus",5,Bio Med,Bio-Medical Equipment,BOX
706776,"Baths, Whirlpool, Stainless steel, 30 gallon tank",5,Bio Med,Bio-Medical Equipment,BOX
700765,"Battery Chargers, Battery Pack Multi-Charger",5,Bio Med,General Medical,BOX
725934,"Battery System, UPS, Back-Up",5,Bio Med,Bio-Medical Equipment,BOX
700131,"WASTE DISPOSAL UNITS, SHARPS, 19 GAL.",7,World Vision,BioHazard/Sharps,BOX
700573,"Battery system, UPS, backup, 1000W",5,Bio Med,Bio-Medical Equipment,BOX
700133,"COUNTERS, NEEDLE, FOAM STRIP",7,World Vision,BioHazard/Sharps,BOX
700810,"Battery system, UPS, backup, 800W",5,Bio Med,Bio-Medical Equipment,BOX
712901,Bed Sensor,5,Bio Med,Bio-Medical Equipment,BOX
717527,"Beds, Electric, Hill Rom 850 w/o Mat",5,Bio Med,Furnishings Hospital/Clinic,BOX
707130,"Beds, Electric, Hill-Rom, Advance 1000, w/o Mat",5,Bio Med,Furnishings Hospital/Clinic,BOX
700140,"SUCTION UNIT, V-VAC REPLACEMENT CARTRIDGE",7,World Vision,Suction,BOX
712155,"Bins, Film Bin",5,Bio Med,Bio-Medical Equipment,BOX
704771,"Blades, Laryngoscope Blades",5,Bio Med,Endoscopic/Laparoscopic,BOX
703473,"Blanket, Bair Hugger, Full-Body - Use w/Warmers",5,Bio Med,Drapes/Linens,BOX
708897,"Blanket, Bair Hugger, Lower Body - Use w/Warmers",5,Bio Med,Drapes/Linens,BOX
708928,"Blanket, Bair Hugger, Pediatric - Use w/Warmers",5,Bio Med,Drapes/Linens,BOX
708705,"Blanket, Bair Hugger, Underbody - Use w/Warmers",5,Bio Med,Drapes/Linens,BOX
708882,"Blanket, Bair Hugger, Upper Body - Use w/Warmers",5,Bio Med,Drapes/Linens,BOX
702003,"Blanket, Snuggle Warm, Full-Body - Use w/Warmers",5,Bio Med,Drapes/Linens,BOX
700082,"Blankets, Filtered Flo Adult Warming Blanket",5,Bio Med,Drainage/Irrigation,BOX
717815,"Blood Gas Analyzer, AVL Omni",5,Bio Med,Laboratory,BOX
700152,"IV SETS, NORMOTHERMIC FLUID ADMIN, D-70",7,World Vision,Intravenous,BOX
703930,"Blood Gas Monitors, Arterial BloodGas Sampling Kit",5,Bio Med,Monitoring,BOX
716492,"Blood Glucose Monitors, Accu-chek Hospital testing",5,Bio Med,Diabetic,BOX
710597,"Blood Glucose Monitors, LifeScan Sure Step",5,Bio Med,Diabetic,BOX
704630,"Blood Glucose Monitors, Port., w/strips & Lancets",5,Bio Med,Diabetic,BOX
700161,"GOWNS, COVERALL GOWN WITH HOOD, DISPOSABLE, XXXL",7,World Vision,Medical Apparel (Disposable),BOX
704629,"Blood Glucose Monitors, Portable",5,Bio Med,Diabetic,BOX
703067,"Blood Glucose Monitors, Portable, Accu-Check Adv",5,Bio Med,Diabetic,BOX
709924,"Blood Glucose Monitors, Portable, Accuchek Compact",5,Bio Med,Diabetic,BOX
710769,"Blood Glucose Monitors, Portable, AccuData GTS",5,Bio Med,Diabetic,BOX
700168,"DRAPES, SURGICAL, CHEST/BREAST DRAPE PACK",7,World Vision,Drapes/Linens,BOX
704656,"Blood Glucose Monitors, Portable, One Touch Basic",5,Bio Med,Diabetic,BOX
704661,"Blood Glucose Monitors, Portable, Precision QID",5,Bio Med,Diabetic,BOX
704660,"Blood Glucose Monitors, Portable, Pricision Xtra",5,Bio Med,Diabetic,BOX
723328,"Blood Glucose Monitors, Portable, TrueTrack",5,Bio Med,Diabetic,BOX
722411,"Blood Glucose Monitors,Portable,Glucometer BD Logi",5,Bio Med,Diabetic,BOX
722413,"Blood Glucose Monitors,Portable,Glucometer One Tou",5,Bio Med,Diabetic,BOX
714669,"Blood Pressure Unit,Multifuntion BP Machine & Cart",5,Bio Med,Monitoring,BOX
720357,"Board, Cloth Message Board",5,Bio Med,Office,BOX
708436,"Cabinet, Comfort Personal Cleansing Cabinet",5,Bio Med,Bio-Medical Equipment,BOX
711844,"Cabinets, Fire",5,Bio Med,Furnishings Hospital/Clinic,BOX
709714,"Cabinets, Plastic Storage Cabinet, 6 Drawers",5,Bio Med,Furnishings Hospital/Clinic,BOX
706844,"Cabinets, Plastic Storage Cabinet, 7 Drawers",5,Bio Med,Furnishings Hospital/Clinic,BOX
700184,"SCRUB SUITS, DISPOSABLE, SCRUB SHIRT, XL",7,World Vision,Medical Apparel (Disposable),BOX
706500,"Cables/Leads, Asst. Pacemaker",5,Bio Med,Monitoring,BOX
714501,"Cables/Leads, ECG/EKG Disposable 5-Lead Cable",5,Bio Med,Monitoring,BOX
716074,"Camera, Endoscopic video",5,Bio Med,Endoscopic/Laparoscopic,BOX
717628,"Camera, Endoscopic, Digital, Dyonics Vision 325Z",5,Bio Med,Endoscopic/Laparoscopic,BOX
711108,"Cameras, Camera Control Box",5,Bio Med,Bio-Medical Equipment,BOX
710790,"Cameras, Camera Control Box w/Light Source, Used",5,Bio Med,Endoscopic/Laparoscopic,BOX
707993,"Cameras, Endoscopic, Dyonics Dyocam 650",5,Bio Med,Bio-Medical Equipment,BOX
701268,"Cameras, Endoscopy, 3-Chip Digital CameraSK",5,Bio Med,Bio-Medical Equipment,BOX
711148,"Cameras, Hospital/Surgical Use Camera",5,Bio Med,Bio-Medical Equipment,BOX
711150,"Cameras, Hospital/Surgical Use Camera",5,Bio Med,Bio-Medical Equipment,BOX
709068,"Caps, Exergen Temporal Scanner thermometer cap",5,Bio Med,Bio-Medical Equipment,BOX
707535,"Car Seat, Adult",5,Bio Med,Patient Transport,BOX
717699,"Cardiac Mapping System, workstation",5,Bio Med,Cardiovascular,BOX
709019,"Cardiac Output Units, Cardiac Output Computer",5,Bio Med,Cardiovascular,BOX
724326,C-Arm Portable X-Ray with Monitor and Cart,5,Bio Med,X-Ray,BOX
715146,"Cart, Equipment, Metal, 3 Drawers and 1 door",5,Bio Med,Furnishings Hospital/Clinic,BOX
725902,"Absorbent, Solidifying Agent, up to 1500cc, 1.5LKN",6,Kendall,Cleaning Supplies,BOX
722803,"Cart, Instrument, Endoscopy, 3 shelves",5,Bio Med,Furnishings Hospital/Clinic,BOX
700207,"SPECIMEN CONTAINERS, 3.5OZ PLASTIC, W/O LIDS",7,World Vision,Laboratory,BOX
716340,"Cart, instrument, metal, 4 drawer, wheels",5,Bio Med,Furnishings Hospital/Clinic,BOX
710783,"Cart, Instrument, Olympus Procedures Cart",5,Bio Med,Furnishings Hospital/Clinic,BOX
711681,"Carts, 2 shelf, metal cart",5,Bio Med,Furnishings Hospital/Clinic,BOX
710544,"Carts, E Cylinder Cart",5,Bio Med,Furnishings Hospital/Clinic,BOX
721839,"Carts, ECG, w/o Monitor",5,Bio Med,General Medical,BOX
706146,"Carts, Metal 3 Shelf, W/Wheels, Power Strip",5,Bio Med,Bio-Medical Equipment,BOX
709463,"Carts, Metal, 4 Canister slots, IV Pole",5,Bio Med,Intravenous,BOX
705935,"Carts, Metal, 5 Shelves",5,Bio Med,Furnishings Hospital/Clinic,BOX
707230,"Carts, Plastic 3-shelf utility cart with wheels",5,Bio Med,Furnishings Hospital/Clinic,BOX
706444,"Carts, Service/Utility, Plaster Cart",5,Bio Med,Furnishings Hospital/Clinic,BOX
700361,"Carts, Utility, Metal w/ wheels",5,Bio Med,Furnishings Hospital/Clinic,BOX
707287,"Cassettes, X-ray Film, Assorted",5,Bio Med,X-Ray,BOX
721364,Cast cutter,5,Bio Med,Orthopedic,BOX
700100,"Cast Cutter, With Vacuum",5,Bio Med,Orthopedic,BOX
708671,"Cast Cutters, Electric, Stryker cast cutter",5,Bio Med,Bio-Medical Equipment,BOX
717994,"Centrifuge, Benchtop, refrigerated, used",5,Bio Med,Laboratory,BOX
704087,"Centrifuges, Centrifuge",5,Bio Med,Laboratory,BOX
700227,"HEATING PADS, MOIST/DRY, ELECTRIC HEATING PAD",7,World Vision,Physical Therapy/Rehabilitation,BOX
704085,"Centrifuges, Centrifuge, Clay Adams, Triac",5,Bio Med,Laboratory,BOX
710409,"Centrifuges, Clay Adams Photoelectric Tachometer",5,Bio Med,Laboratory,BOX
X700230,"Tables, Operating, Shampaine 2605 NL-B w/stirrup",2,Medical Supplies,Furnishings Hospital/Clinic,BOX
705020,"Centrifuges, Hermle Z-230 BHG Centrifuge",5,Bio Med,Laboratory,BOX
700232,"CLEANERS, FLOOR AND ALL-PURPOSE DETERGENT, 36LB",7,World Vision,Cleaning Supplies,BOX
701483,"Centrifuges, Junior, 4 Tube",5,Bio Med,Laboratory,BOX
704086,"Centrifuges, Tabletop, 12-tube",5,Bio Med,Laboratory,BOX
723046,"Centrifuges, Tabletop, 24-hole,Dynac",5,Bio Med,Laboratory,BOX
707106,"Centrifuges, Tabletop, 4 - 6 hole w/lid",5,Bio Med,Laboratory,BOX
709433,"Centrifuges, Tabletop, 4-6 hole, no lid",5,Bio Med,Laboratory,BOX
707105,"Centrifuges, Tabletop, 6 hole w/lid",5,Bio Med,Laboratory,BOX
707107,"Centrifuges, Tabletop, 8 Hole, Medium",5,Bio Med,Laboratory,BOX
708348,"Centrifuges, Tabletop, Beckman, Centrifuge",5,Bio Med,Laboratory,BOX
710349,"Centrifuges, Tabletop, Becton Dickinson QBC",5,Bio Med,Laboratory,BOX
708347,"Centrifuges, Tabletop, Clay Adams 0131",5,Bio Med,Laboratory,BOX
709434,"Centrifuges, Tabletop, Clay Adams Compact",5,Bio Med,Laboratory,BOX
710093,"Centrifuges, Tabletop, Clay Adams CT3300",5,Bio Med,Laboratory,BOX
725101,"Centrifuges, Tabletop, Cytospin 2 Centrifuge",5,Bio Med,Laboratory,BOX
709431,"Centrifuges, Tabletop, Cytospin 3 Centrifuge",5,Bio Med,Laboratory,BOX
700252,"POSITIONING AIDS, ANDREWS FRAME POSITIONING KIT",7,World Vision,Surgical,BOX
720817,"Centrifuges, Tabletop, Dynac II",5,Bio Med,Laboratory,BOX
708140,"Centrifuges, Tabletop, Fisher 225",5,Bio Med,Laboratory,BOX
724713,"Centrifuges, Tabletop, Haemotocrit Centrifuge",5,Bio Med,Laboratory,BOX
700256,"TABLES, EXAMINATION, EXAM TABLE W/O TOP",7,World Vision,Furnishings Hospital/Clinic,BOX
709432,"Centrifuges, Tabletop, Hamilton V6500",5,Bio Med,Laboratory,BOX
709430,"Centrifuges, Tabletop, Megafuge 1.0",5,Bio Med,Laboratory,BOX
700259,"SUPPORTS, KNEE, ELASTIC KNEE SLEEVE,SMALL",7,World Vision,Orthopedic,BOX
700261,"ORTHOPEDIC, HOT/COLD THERAPY SLEEVE, MEDIUM",7,World Vision,Orthopedic,BOX
700262,"IV CATHETERS, CLOSED IV CATHETER SYSTEM,18G X 1.25",7,World Vision,Intravenous,BOX
700502,"Centrifuges, Tabletop, Model 708T High-Performance",5,Bio Med,Laboratory,BOX
706054,"Centrifuges, Tabletop, Readacrit Centrifuge",5,Bio Med,Laboratory,BOX
720816,"Centrifuges, Tabletop, Silencer 2100",5,Bio Med,Laboratory,BOX
710351,"Centrifuges, Tabletop,Beckman GPR Benchtop w/rotor",5,Bio Med,Laboratory,BOX
721045,"Chair, dental, w/suction, stand, & exam stool",5,Bio Med,Dental,BOX
700270,"STOCKINETTES, TERRY CLOTH, 3IN X 15YDS",7,World Vision,Orthopedic,BOX
723158,"Chair, Ophthalmologic, New",5,Bio Med,Bio-Medical Equipment,BOX
700272,"SURGICAL PACKS, GENERAL ORTHOPEDIC PACK",7,World Vision,Surgical Packs & Trays,BOX
721002,"Chairs, Dentistry, Electric, Used",5,Bio Med,Dental,BOX
722499,"Chairs, Examination/Treatment",5,Bio Med,Furnishings Hospital/Clinic,BOX
700590,"Chairs, Examination/Treatment, Dentistry, Chair-Ta",5,Bio Med,Furnishings Hospital/Clinic,BOX
705939,"Chairs, Examination/Treatment, Dentistry, Dental C",5,Bio Med,Dental,BOX
700281,"Chairs, Examination/Treatment, Dentistry, Electri",5,Bio Med,Dental,BOX
722031,"Chairs, Examination/Treatment, MidMark",5,Bio Med,Bio-Medical Equipment,BOX
722498,"Chairs, Examination/Treatment, MidMark 411",5,Bio Med,Bio-Medical Equipment,BOX
711216,"Chairs, Examination/Treatment, MidMark, Pediatric",5,Bio Med,Furnishings Hospital/Clinic,BOX
724894,"Chairs, Examination/Treatment, Ophthamalogy,Topcon",5,Bio Med,Furnishings Hospital/Clinic,BOX
722030,"Chairs, Examination/Treatment, Ritter ",5,Bio Med,Bio-Medical Equipment,BOX
713262,"Charger, Electirc Wheelchair Battery Charger",5,Bio Med,Bio-Medical Equipment,BOX
700293,"GAUZE DRESSINGS, HIGH PERFORMACE, 4IN X 4IN",7,World Vision,Dressings,BOX
700294,"TEST TUBES, PYREX TEST TUBE, 15ML",7,World Vision,Laboratory,BOX
722971,"Absorbent, Solidifying Agent, up to 16,000, 16ozKN",6,Kendall,Cleaning Supplies,BOX
720118,"Absorbent, Solidifying Agent, up to 2000cc, 2ozKN",6,Kendall,Cleaning Supplies,BOX
708757,"Clinical Chemistry Analyzers, Ace, Alfa Wassermann",5,Bio Med,Bio-Medical Equipment,BOX
700298,"SKIN PREP, ANTISEPTIC, MERCUROCLEAR, 1OZ",7,World Vision,Skin Prep,BOX
711139,"Clinical Chemistry Analyzers, Chemical Analyzer",5,Bio Med,Laboratory,BOX
719422,"Absorbent, Solidifying Agent, up to 3000cc, 3ozKN",6,Kendall,Cleaning Supplies,BOX
711969,"Clinical Chemistry Analyzers, Radioisotope Calibra",5,Bio Med,Laboratory,BOX
704004,"Clippers, Surgical Clipper, w/Charger ",5,Bio Med,Surgical,BOX
723351,"Coagulation Systems, Roche CoaguChek S System",5,Bio Med,Monitoring,BOX
700304,"STOCKINETTES, TERRY CLOTH, 2IN X 15YDS",7,World Vision,Orthopedic,BOX
710541,"Cold Pack Chilling Units, Col-Pac Chilling Units",5,Bio Med,Bio-Medical Equipment,BOX
710540,"Cold Pack Chilling Units, EBIce Cold Thearpy Sys",5,Bio Med,Physical Therapy/Rehabilitation,BOX
708152,"Cold Pack Chilling Units, Polar-Care 300 Air Pump",5,Bio Med,Physical Therapy/Rehabilitation,BOX
708153,"Cold Pack Chilling Units, Polar-Care 300 Air Pump",5,Bio Med,Physical Therapy/Rehabilitation,BOX
723515,Cold Therapy,5,Bio Med,Bio-Medical Equipment,BOX
717918,Colposcope,5,Bio Med,Obstetric/Gynecology(OB/GYN),BOX
710598,Compact Ductless Fume System,5,Bio Med,Laboratory,BOX
711100,"Compression Units, Compression System",5,Bio Med,Physical Therapy/Rehabilitation,BOX
703619,"Compression Units, Femoral Compression System",5,Bio Med,Physical Therapy/Rehabilitation,BOX
708072,"Compression Units, Intermittent, Flowtron DVT AC50",5,Bio Med,Physical Therapy/Rehabilitation,BOX
711099,"Compression Units, Sequential, Sequential Compress",5,Bio Med,Physical Therapy/Rehabilitation,BOX
711101,"Compression Units, Sequential, Sequential Compress",5,Bio Med,Physical Therapy/Rehabilitation,BOX
721875,"Compression, Jobst Extremity Pump ",5,Bio Med,Physical Therapy/Rehabilitation,BOX
713928,"Adapters, Adult, Easy Cap CO2 Detector,KN",6,Kendall,Respiratory,BOX
719863,"Compressor, Devilbiss, Compact",5,Bio Med,General Supplies,BOX
719962,"Compressor, Salter Aire Plus",5,Bio Med,Bio-Medical Equipment,BOX
707337,"Compressors, Air Techniques Compresso-Dri",5,Bio Med,Physical Therapy/Rehabilitation,BOX
722999,"Compressors, DeVilbiss 561 Series",5,Bio Med,Bio-Medical Equipment,BOX
708236,"Compressors, Invacare Passport",5,Bio Med,Physical Therapy/Rehabilitation,BOX
711778,"Compressors, Matrx Oilless Compressor",5,Bio Med,Bio-Medical Equipment,BOX
704388,"Compressors, Medical-Air, Aridyne 2000",5,Bio Med,Surgical,BOX
700331,"BLADES, VALUELCIP SURGICAL CLIPPER BLADE",7,World Vision,Surgical,BOX
711185,"Computer Supplies, Used Printer",5,Bio Med,Office,BOX
726078,"Computer, Laptop Refurbished",5,Bio Med,Office,BOX
725739,"Computer, Monitor ",5,Bio Med,Office,BOX
700335,"INSTRUMENTS, CUSTOM TIP PROTECTOR, SM",7,World Vision,Surgical,BOX
700336,"TRAYS, SKIN SCRUB, WET SKIN SCRUB TRAY",7,World Vision,Skin Prep,BOX
X700338,"GLOVES, SURGICAL, POWDER FREE, SM - (5-6)",7,World Vision,Gloves,BOX
720356,"Computers, CPU New",5,Bio Med,Office,BOX
717631,"Conditioner, power",5,Bio Med,Bio-Medical Equipment,BOX
700343,"MASKS, FACE BUBBLEGUM, SIZE 2",7,World Vision,Masks,BOX
720979,Conductivity meter,5,Bio Med,General Supplies,BOX
700345,"TUBES, BRONCHIAL, RIGHT,39FR,ENDOBRONCHIAL",7,World Vision,Respiratory,BOX
700346,"OFFICE SUPPLIES, SONY TONER, THERMAL, UPP110S",7,World Vision,Office,BOX
708165,"Continuous Positive Airway Pressure Units, DeVilbi",5,Bio Med,Bio-Medical Equipment,BOX
700348,"FORCEPS, KELLY, STRAIGHT, 5 1/2IN.",7,World Vision,Surgical Instruments,BOX
710472,"Continuous Positive Airway Pressure Units, Respiro",5,Bio Med,Bio-Medical Equipment,BOX
710586,"Continuous Positive Airway Pressure Units, Respiro",5,Bio Med,Bio-Medical Equipment,BOX
700352,"GAUZE DRESSINGS, ADHESIVE BORDERED FOAM DRESSING",7,World Vision,Dressings,BOX
700353,"BLOOD COLLECTION SET, WINGED, 23G X 3/4, 6IN ",7,World Vision,Laboratory,BOX
709546,"Continuous Positive Airway Pressure Units, Sulliva",5,Bio Med,Bio-Medical Equipment,BOX
711290,"Cooler, Lab, Mobile",5,Bio Med,Bio-Medical Equipment,BOX
706064,"Copier, Xerox Copier, 214",5,Bio Med,Office,BOX
725901,"Counter, Blood Cell Counter",5,Bio Med,Laboratory,BOX
722175,"CPAP Machine, Respironics Plus w/heated Humidifier",5,Bio Med,Respiratory,BOX
721951,"CPAP Machine, Used",5,Bio Med,Respiratory,BOX
719859,"CPAP Systems, Compact",5,Bio Med,Bio-Medical Equipment,BOX
710576,"CPAP, Healthdyne 7000",5,Bio Med,Respiratory,BOX
700368,"TUBES, ENDOTRACHEAL TUBE, 6.5MM, CUFFED",7,World Vision,Respiratory,BOX
710577,"CPAP, Healthdyne 7100",5,Bio Med,Respiratory,BOX
708621,"Cuffs, Cryo Cuff Cooler with pump",5,Bio Med,Physical Therapy/Rehabilitation,BOX
701854,"Cuffs, Dual Port Double bladder, Disposable, PLC",5,Bio Med,Monitoring,BOX
701855,"Cuffs, Dual Port Single bladder, Disposable, PLC",5,Bio Med,Monitoring,BOX
700374,"SLIDES, MICROSCOPE, TAN, 25 X 75 X 1MM",7,World Vision,Laboratory,BOX
700881,"Adapters, Connector, Swivel, 15mmKN",6,Kendall,Respiratory,BOX
700376,"BABY CARE KITS, BABY LOTION, 1FL. OZ.",7,World Vision,Personal Hygiene,BOX
701872,"Cuffs, Single port Single bladder, Disposable, PLC",5,Bio Med,Monitoring,BOX
723057,Cyrosurgical Probe Unit,5,Bio Med,Surgical,BOX
720724,"Defibrilators, Lifepak 10",5,Bio Med,Bio-Medical Equipment,BOX
700380,"ADAPTERS, DOUBLE FEMALE LUER LOCK ADAPTER",7,World Vision,Intravenous,BOX
720725,"Defibrilators, Quik Combo Pacing Adapter",5,Bio Med,Bio-Medical Equipment,BOX
717643,"Defibrillator, Portable ",5,Bio Med,Bio-Medical Equipment,BOX
707267,"Defibrillators, Defibrillator AED",5,Bio Med,Bio-Medical Equipment,BOX
707268,"Defibrillators, Defibrillator with paddles",5,Bio Med,Bio-Medical Equipment,BOX
707270,"Defibrillators, Defibrillator with paddles",5,Bio Med,Bio-Medical Equipment,BOX
700387,"PIPETTES, SEROLOGICAL PIPETTE,1ML, 1/100ML",7,World Vision,Laboratory,BOX
714347,"Defibrillators, Defibrillators Parts",5,Bio Med,Bio-Medical Equipment,BOX
707235,"Defibrillators, Hewlett Packard 43100 A",5,Bio Med,Bio-Medical Equipment,BOX
